"CV-78K0R1","R20UT2140E","3.2.4","bit type variables"
"IMPL-EIO5","CERT-C","CON34-C",""
"IMPL-EIO5","CERT-C","POS50-C",""
"IMPL-EIO6","C11","6.2.4","4"
"IMPL-EIO6","C11","6.2.4","5"
"IMPL-EIO6","C11","J.3.13","1 item 2"
"L-CCVE1","CERT-C","INT30-C",""
"L-CCVE2","CERT-C","INT31-C",""
"L-CEIE1","CERT-C","MEM31-C",""
"L-CMRE1","CERT-C","EXP33-C",""
"L-EXC3","CERT-C","EXP16-C",""
"L-PTHREAD9","CERT-C","POS50-C",""
"L-STDLIBE1","CERT-C","ARR30-C",""
"L-STDLIBE1","CERT-C","ARR37-C",""
"L-STDLIBE1","CERT-C","ARR38-C",""
"L-STDLIBE1","CERT-C","EXP34-C",""
"L-STDLIBE1","CERT-C","STR31-C",""
"SE-CID1","C11","6.5.1","2"
"SE-CID1","CERT-C","DCL31-C",""
"UB++-CCV1","C++14","5","4"
"UB++-CCV2","C++14","4.8","1"
"UB++-CCV2","C++14","5","4"
"UB++-CCV4","C++14","4.8","1"
"UB++-CCV5","C++14","4.9","1"
"UB++-CCV6","C++14","4.9","2"
"UB++-CEA1","C++14","5.7","4"
"UB++-CEB1","C++14","5.8","2"
"UB++-CEC1","C++14","5.2.9","10"
"UB++-CEC2","C++14","5.2.9","11"
"UB++-CEC3","C++14","5.2.9","12"
"UB++-CEMX1","C++14","5.6","4"
"UB++-CEMX2","C++14","5.6","4"
"UB++-CEMX3","C++14","5.6","4"
"UB++-EIO1","C++14","4.1","2.6"
"UB-CB1","C11","6.5.2.2","6"
"UB-CB1","C11","J.2","1 item 39"
"UB-CB1","CERT-C","EXP37-C",""
"UB-CB2","C11","6.5.2.2","6"
"UB-CB2","C11","J.2","1 item 38"
"UB-CB2","CERT-C","EXP37-C",""
"UB-CB3","C11","6.5.2.2","6"
"UB-CB3","C11","J.2","1 item 38"
"UB-CB3","CERT-C","EXP37-C",""
"UB-CB4","C11","6.5.2.2","6"
"UB-CB4","C11","J.2","1 item 38"
"UB-CB4","CERT-C","EXP37-C",""
"UB-CCV1","C11","6.5","5"
"UB-CCV1","C11","J.2","1 item 36"
"UB-CCV1","CERT-C","INT32-C",""
"UB-CCV11","C11","6.3.2.3","7"
"UB-CCV11","C11","J.2","1 item 25"
"UB-CCV11","CERT-C","EXP36-C",""
"UB-CCV12","C11","6.5","5"
"UB-CCV12","C11","J.2","1 item 36"
"UB-CCV12","CERT-C","FLP32-C",""
"UB-CCV3","C11","6.3.1.4","1"
"UB-CCV3","C11","J.2","1 item 17"
"UB-CCV3","CERT-C","FLP34-C",""
"UB-CCV4","C11","6.3.1.5","1"
"UB-CCV4","C11","J.2","1 item 18"
"UB-CCV4","CERT-C","FLP34-C",""
"UB-CCV5","C11","6.3.2.2","1"
"UB-CCV5","C11","J.2","1 item 23"
"UB-CCV5","CERT-C","MSC15-C",""
"UB-CCV5","CERT-C","MSC37-C",""
"UB-CCV6","C11","6.3.2.2","1"
"UB-CCV6","C11","J.2","1 item 23"
"UB-CCV6","CERT-C","MSC15-C",""
"UB-CCV7","C11","6.3.2.3","6"
"UB-CCV7","C11","J.2","1 item 24"
"UB-CCV7","CERT-C","INT36-C",""
"UB-CDI1","C11","6.7.9","11"
"UB-CDI1","C11","J.2","1 item 81"
"UB-CDI1","CERT-C","MSC15-C",""
"UB-CDI2","C11","6.7.9","11"
